,chooseFrontProbability,likeFrontNumber,likeNumber,students,teacherUtility,totalUtility,utility-0,utility-1,utility-2,utility-3,utility-4,utility-5,utility-6,utility-7
110,0.0,0,4,"[{'id': 0, 'like': 0, 'front': 1, 'utility': 2000}, {'id': 1, 'like': 0, 'front': 1, 'utility': 2000}, {'id': 2, 'like': 0, 'front': 1, 'utility': 2000}, {'id': 3, 'like': 0, 'front': 1, 'utility': 2000}, {'id': 4, 'like': 1, 'front': 0, 'utility': 249}, {'id': 5, 'like': 1, 'front': 0, 'utility': 247}, {'id': 6, 'like': 1, 'front': 0, 'utility': 253}, {'id': 7, 'like': 1, 'front': 0, 'utility': 251}]",1000,9000,2000,2000,2000,2000,249,247,253,251
263,0.9999999999999991,5,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1258}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1256}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1243}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1244}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 6, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,8001,1258,1256,1243,1244,0,1000,1000,1000
296,0.9999999999999991,4,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1256}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1245}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1253}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1247}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 1, 'front': 0, 'utility': 0}, {'id': 6, 'like': 1, 'front': 0, 'utility': 0}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,6001,1256,1245,1253,1247,0,0,0,1000
252,0.9999999999999991,4,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1252}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1244}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1255}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1249}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 1, 'front': 0, 'utility': 0}, {'id': 6, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,7000,1252,1244,1255,1249,0,0,1000,1000
164,0.9999999999999991,4,4,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1250}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1247}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1248}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1254}, {'id': 4, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 5, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 6, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,8999,1250,1247,1248,1254,1000,1000,1000,1000
274,0.9999999999999991,6,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1249}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1250}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1253}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1248}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 1, 'front': 0, 'utility': 0}, {'id': 6, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,7000,1249,1250,1253,1248,0,0,1000,1000
208,0.9999999999999991,4,5,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1248}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1261}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1243}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1248}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 6, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,8000,1248,1261,1243,1248,0,1000,1000,1000
318,0.9999999999999991,6,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1248}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1254}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1252}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1246}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 1, 'front': 0, 'utility': 0}, {'id': 6, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,7000,1248,1254,1252,1246,0,0,1000,1000
307,0.9999999999999991,5,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1248}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1249}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1257}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1246}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 1, 'front': 0, 'utility': 0}, {'id': 6, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,7000,1248,1249,1257,1246,0,0,1000,1000
219,0.9999999999999991,5,5,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1247}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1252}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1249}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1252}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 6, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,8000,1247,1252,1249,1252,0,1000,1000,1000
329,0.9999999999999991,7,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1246}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1248}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1250}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1256}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 1, 'front': 0, 'utility': 0}, {'id': 6, 'like': 1, 'front': 0, 'utility': 0}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,6000,1246,1248,1250,1256,0,0,0,1000
